No.,Category,Feature,Description,Who Uses It,API Endpoint,Status
1,Student Learning,Doubt Solver (AI Chat),Ask any academic question — AI tutor answers with step-by-step explanations. Supports CBSE / ICSE / State boards Class 6–12.,Student,OpenRouter (streaming),Done
2,Student Learning,Flashcard Auto-Generate,Generate up to 30 flashcards from any topic using AI. Stored in DB.,Student,POST /api/flashcards/generate,Done
3,Student Learning,Spaced Repetition (SM-2),SM-2 algorithm schedules each card for optimal review — intervals grow as you get it right.,Student,POST /api/flashcards/:id/review,Done
4,Student Learning,Due Today Queue,Shows only cards due for review today — no overwhelm.,Student,GET /api/flashcards/due,Done
5,Student Learning,Flashcard Chip → Navigate,Clicking 'Make Flashcards' chip in chat auto-creates cards and navigates to the Flashcard page.,Student,POST /api/flashcards/generate,Done
6,Student Learning,Study Plan Creator,AI generates a week-by-week study plan based on subjects and exam date.,Student,POST /api/study-plan/create,Done
7,Student Learning,Study Plan Progress,Mark topics as done and track % completion per plan.,Student,PUT /api/study-plan/:id/progress,Done
8,Student Learning,Adaptive Quiz,AI generates MCQ questions on any topic. Shows correct/wrong instantly with scoring.,Student,POST /api/quiz/start,Done
9,Student Learning,Quiz History,Review past quiz sessions with scores and grade.,Student,GET /api/quiz/history,Done
10,Student Learning,Pomodoro Timer,SVG circle countdown timer with focus (25 min) / short break (5 min) / long break (15 min) modes.,Student,Local (no API),Done
11,Student Learning,Pomodoro Session Log,Logs every session with mode and timestamp.,Student,Local (no API),Done
12,Writing & Essays,Essay Grader,AI grades essay out of 10 marks — breaks down into structure / content / language / examples.,Student / Teacher,POST /api/essay/grade,Done
13,Writing & Essays,Tone Improver,Rewrites text in formal / friendly / exam-ready tone.,Student,POST /api/writing/improve,Done
14,Writing & Essays,Short Answer Expander,Expands a brief answer to a target word count.,Student,POST /api/writing/expand,Done
15,Writing & Essays,Topper-Level Rewriter,Rewrites a response to board-exam topper quality.,Student,POST /api/writing/topper,Done
16,Writing & Essays,Plagiarism / AI Similarity Check,Scans text for AI-generated patterns and similarity flags.,Student,POST /api/writing/plagiarism,Done
17,Concept Tools,Concept Simplifier,Explains any concept at Class 5 / Class 8 / Class 12 level.,Student,POST /api/concept/simplify,Done
18,Concept Tools,Mind Map Generator,AI generates a JSON mind map with nodes / formulas / key terms — rendered as a tree.,Student,POST /api/concept/mindmap,Done
19,Concept Tools,Doubt Saver,Save any doubt for later reference. Search / filter doubt history.,Student,POST /api/concept/doubt,Done
20,Concept Tools,Formula Sheet Generator,AI generates subject formula sheets with sections / constants / tips. Save to DB.,Student,POST /api/formula/generate,Done
21,Concept Tools,Formula Sheet PDF,Download any saved formula sheet as a PDF.,Student,Browser print (PDF),Done
22,Exam & Performance,Exam Predictor,AI predicts marks in each subject based on past scores and study hours.,Student,POST /api/exam/predict,Done
23,Exam & Performance,Mock Test Generator,Generate a timed mock exam and score it automatically.,Student,POST /api/exam/mock,Done
24,Exam & Performance,Weak Area Detection,Aggregates essay + quiz scores and flags subjects below 70% threshold.,Student / Teacher,GET /api/analytics/weak-areas,Done
25,Exam & Performance,Daily Study Card,AI recommends what to study today based on weak areas and active plans.,Student,GET /api/analytics/study-today,Done
26,Exam & Performance,Rank Predictor,Enter scores → AI predicts school rank / percentile.,Student,POST /api/analytics/rank-predict,Done
27,Exam & Performance,Class Performance Dashboard,Per-student and per-subject breakdown for teachers.,Teacher,GET /api/analytics/class-performance,Done
28,Gamification,XP & Level System,Earn XP for every action. 10 levels from Beginner (0 XP) to Topper (5000+ XP).,Student,POST /api/gamification/xp,Done
29,Gamification,10 Achievement Badges,First Flash / Quiz Starter / Writer / 7-Day Streak / Perfect Score / XP Hunter etc.,Student,GET /api/gamification/badges,Done
30,Gamification,School Leaderboard,School-wide XP ranking. Top 3 get medal icons.,Student,GET /api/gamification/leaderboard,Done
31,Gamification,XP Earn Buttons,Quick-earn XP from the My Progress page for actions like studying.,Student,POST /api/gamification/xp,Done
